Day,Len,State,Dem,GOP,Ind,Date,Pollster
210.5,10,Alabama,36,58,,Aug-02,Morning Consult-10
187.5,8,Alabama,41,55,,Jul-09,Auburn U. at Montgomery-8
36,3,Alabama,38,58,,Feb-06,Mason-Dixon-3
205.5,2,Alaska,44,50,,Jul-24,PPP-2
189.5,2,Alaska,45,48,,Jul-08,PPP-2
182,15,Alaska,48,49,,Jul-07,Alaska Survey Research-15
272,5,Arizona,50,46,,Sep-30,Suffolk U.-5
270.5,6,Arizona,49,45,,Sep-29,Strategies 360-6
268.5,4,Arizona,47,44,,Sep-26,Redfield and Wilton Strategies-4
261.5,6,Arizona,48,49,,Sep-20,Langer Research-6
258,5,Arizona,47,42,,Sep-16,Redfield and Wilton Strategies-5
258,7,Arizona,47,46,,Sep-17,Ipsos-7
257,5,Arizona,48,46,,Sep-15,Monmouth U.-5
256.5,6,Arizona,49,40,,Sep-15,Siena Coll.-6
254,3,Arizona,47,44,,Sep-11,YouGov-3
253,3,Arizona,52,42,,Sep-10,OH Predictive Insights-3
249.5,16,Arizona,45,40,,Sep-13,Kaiser/Cook-16
246.5,12,Arizona,48,47,,Sep-08,Benenson Strategy/GS Strategy-12
245.5,6,Arizona,48,43,,Sep-04,Redfield and Wilton Strategies-6
243.5,4,Arizona,49,40,,Sep-01,Fox News-4
238.5,10,Arizona,52,42,,Aug-30,Morning Consult-10
230,3,Arizona,47,38,,Aug-18,Redfield and Wilton Strategies-3
222,3,Arizona,53,47,,Aug-10,Emerson Coll.-3
216.5,2,Arizona,49,45,,Aug-04,OH Predictive Insights-2
203.5,10,Arizona,49,42,,Jul-26,Morning Consult-10
203,5,Arizona,46,38,,Jul-23,Redfield and Wilton Strategies-5
203,7,Arizona,49,45,,Jul-24,SSRS-7
200,9,Arizona,50,45,,Jul-22,Marist Coll.-9
199.5,2,Arizona,49,45,,Jul-18,PPP-2
190.5,4,Arizona,46,46,,Jul-10,YouGov-4
188.5,2,Arizona,49,44,,Jul-07,OH Predictive Insights-2
167.5,4,Arizona,43,39,,Jun-17,Redfield and Wilton Strategies-4
166,3,Arizona,49,45,,Jun-15,Civiqs-3
164,9,Arizona,48,41,,Jun-16,Siena Coll.-9
152.5,4,Arizona,46,42,,Jun-02,Fox News-4
141,5,Arizona,47,45,,May-22,High Ground Inc.-5
133,5,Arizona,45,41,,May-14,Redfield and Wilton Strategies-5
131,3,Arizona,50,43,,May-11,OH Predictive Insights-3
98.5,2,Arizona,52,43,,Apr-08,OH Predictive Insights-2
72.5,4,Arizona,46,43,,Mar-14,Monmouth U.-4
72.5,6,Arizona,47,46,,Mar-15,Marist Coll.-6
68.5,6,Arizona,50,42,,Mar-11,Latino Decisions-6
63.5,2,Arizona,49,43,,Mar-04,OH Predictive Insights-2
62.5,2,Arizona,48,47,,Mar-03,PPP-2
44,5,Arizona,42,46,,Feb-15,Climate Nexus-5
3,3,Arizona,46,46,,Jan-04,PPP-3
161.5,2,Arkansas,45,47,,Jun-10,Hendrix Coll.-2
271,3,California,59,32,,Sep-28,SurveyUSA-3
264,3,California,62,28,,Sep-21,Redfield and Wilton Strategies-3
256,7,California,67,28,,Sep-15,U. of Calif. at Berkeley-7
252.5,10,California,60,31,,Sep-13,Public Policy Inst. of Calif.-10
225,1,California,56,28,,Aug-12,SurveyUSA-1
222,1,California,61,25,,Aug-09,Redfield and Wilton Strategies-1
206,7,California,67,28,,Jul-27,U.C. Berkeley-7
142.5,10,California,57,33,,May-26,Public Policy Inst. of Calif.-10
139.5,2,California,58,30,,May-19,SurveyUSA-2
129.5,2,California,65,35,,May-09,Emerson Coll.-2
88.5,2,California,67,29,,Mar-29,PPP-2
58.5,8,California,62,26,,Mar-02,AtlasIntel-8
58,3,California,59,31,,Feb-28,YouGov-3
55,5,California,60,35,,Feb-26,SSRS-5
53.5,6,California,58,31,,Feb-25,U. of California-6
45.5,4,California,57,37,,Feb-16,SurveyUSA-4
39,15,California,60,30,,Feb-15,YouGov-15
15,3,California,59,35,,Jan-16,SurveyUSA-3
246,7,Colorado,50,40,,Sep-05,Fabrizio Ward/Hart Research-7
238.5,10,Colorado,51,41,,Aug-30,Morning Consult-10
205.5,2,Colorado,54,41,,Jul-24,PPP-2
203.5,10,Colorado,52,39,,Jul-26,Morning Consult-10
181.5,2,Colorado,56,39,,Jun-30,PPP-2
130,5,Colorado,53,40,,May-11,Global Strategy-5
105.5,10,Colorado,53,35,,Apr-19,Montana State U.-10
48,5,Colorado,46,43,,Feb-19,Climate Nexus-5
142.5,6,Connecticut,52,32,,May-24,SurveyUSA-6
123,5,Connecticut,56,33,,May-04,Quinnipiac U.-5
89,11,Connecticut,47,34,,Apr-03,Sacred Heart U.-11
63.5,18,Connecticut,52,36,,Mar-12,Sacred Heart U.-18
2,1,D.C.,93,4,,Jan-02,Election 2016-1
234.5,2,Delaware,58,37,,Aug-22,PPP-2
17.5,4,Delaware,56,40,,Jan-19,Gonzales Research-4
274.5,2,Florida,47,42,,Oct-01,Siena Coll.-2
268,3,Florida,48,43,,Sep-25,Redfield and Wilton Strategies-3
265.5,2,Florida,50,47,,Sep-22,St. Pete polls-2
261.5,6,Florida,47,51,,Sep-20,Langer Research-6
260.5,4,Florida,48,46,,Sep-18,YouGov-4
257.5,6,Florida,47,47,,Sep-16,Ipsos-6
257,3,Florida,47,44,,Sep-14,Redfield and Wilton Strategies-3
255.5,2,Florida,50,50,,Sep-12,Florida Atlantic U.-2
255.5,4,Florida,50,45,,Sep-13,Monmouth U.-4
251.5,2,Florida,50,47,,Sep-08,St. Pete polls-2
249.5,16,Florida,43,42,,Sep-13,Kaiser/Cook-16
247.5,10,Florida,48,46,,Sep-08,Benenson Strategy/GS Strategy-10
247,7,Florida,48,48,,Sep-06,Marist Coll.-7
245,5,Florida,47,44,,Sep-03,Redfield and Wilton Strategies-5
243,5,Florida,48,45,,Sep-01,Quinnipiac U.-5
238.5,10,Florida,49,47,,Aug-30,Morning Consult-10
236.5,6,Florida,50,43,,Aug-26,Opinium-6
234.5,2,Florida,48,44,,Aug-22,PPP-2
229,1,Florida,49,41,,Aug-16,Redfield and Wilton Strategies-1
204,3,Florida,43,43,,Jul-23,Zogby Analytics-3
203.5,4,Florida,50,46,,Jul-23,Mason Dixon-4
203.5,10,Florida,49,46,,Jul-26,Morning Consult-10
203,7,Florida,51,46,,Jul-24,SSRS-7
202,3,Florida,48,41,,Jul-21,Redfield and Wilton Strategies-3
200,5,Florida,51,38,,Jul-20,Quinnipiac U.-5
195.5,2,Florida,50,44,,Jul-14,St. Pete polls-2
190.5,4,Florida,48,42,,Jul-10,YouGov-4
173.5,4,Florida,49,40,,Jun-23,Fox News-4
166.5,2,Florida,45,41,,Jun-15,Redfield and Wilton Strategies-2
165,11,Florida,47,41,,Jun-18,Siena Coll.-11
162,3,Florida,51,40,,Jun-11,TIPP-3
147.5,2,Florida,48,47,,May-27,St. Pete Polls-2
145,13,Florida,47,44,,May-30,Cygnal-13
133,5,Florida,45,43,,May-14,Redfield and Wilton Strategies-5
131,5,Florida,53,47,,May-12,Florida Atlantic U.-5
110.5,4,Florida,46,43,,Apr-21,Fox News-4
109,5,Florida,46,42,,Apr-20,Quinnipiac U.-5
107.5,2,Florida,48,48,,Apr-17,St. Pete Polls-2
93,5,Florida,46,40,,Apr-04,U. of North Florida-5
75,3,Florida,45,45,,Mar-16,AtlasIntel-3
69,7,Florida,45,48,,Mar-12,Latino Decisions-7
66,3,Florida,49,51,,Mar-07,Florida Atlantic U.-3
45,9,Florida,49,48,,Feb-18,U. of North Florida-9
10.5,4,Florida,51,49,,Jan-12,Florida Atlantic U.-4
271.5,4,Georgia,50,47,,Sep-29,Civiqs-4
269,5,Georgia,50,47,,Sep-27,Quinnipiac U.-5
268.5,4,Georgia,45,44,,Sep-26,Redfield and Wilton Strategies-4
267.5,4,Georgia,46,47,,Sep-25,YouGov-4
263,5,Georgia,46,48,,Sep-21,Monmouth U.-5
262.5,6,Georgia,45,45,,Sep-21,Siena Coll.-6
259.5,10,Georgia,47,47,,Sep-20,U. of Georgia-10
258,5,Georgia,45,46,,Sep-16,Redfield and Wilton Strategies-5
246,7,Georgia,47,46,,Sep-05,Fabrizio Ward/Hart Research-7
238.5,10,Georgia,49,46,,Aug-30,Morning Consult-10
238,11,Georgia,52,46,,Aug-30,HarrisX-11
237.5,2,Georgia,47,46,,Aug-25,PPP-2
220,3,Georgia,46,44,,Aug-08,SurveyUSA-3
211.5,4,Georgia,46,45,,Jul-31,YouGov-4
207,5,Georgia,47,48,,Jul-27,Monmouth U.-5
205.5,2,Georgia,46,45,,Jul-24,PPP-2
203.5,10,Georgia,47,46,,Jul-26,Morning Consult-10
177.5,2,Georgia,49,45,,Jun-26,PPP-2
173.5,4,Georgia,47,45,,Jun-23,Fox News-4
164.5,2,Georgia,48,46,,Jun-13,PPP-2
145,7,Georgia,40,44,,May-27,TargetSmart-7
138,3,Georgia,48,47,,May-18,Civiqs-3
117,3,Georgia,44,45,,Apr-27,Cygnal-3
58.5,8,Georgia,43,51,,Mar-02,U. of Georgia-8
2,1,Hawaii,65,28,,Jan-02,Election 2016-1
2,1,Idaho,29,58,,Jan-02,Election 2016-1
268.5,4,Illinois,53,40,,Sep-26,Victory Research-4
210.5,10,Indiana,38,55,,Aug-02,Morning Consult-10
143,3,Indiana,39,49,,May-23,Victoria Research-3
102.5,4,Indiana,39,52,,Apr-13,Change Research-4
268.5,4,Iowa,48,46,,Sep-26,RABA Research-4
264,5,Iowa,46,49,,Sep-22,Monmouth U.-5
263,7,Iowa,45,42,,Sep-22,Siena Coll.-7
259.5,4,Iowa,47,47,,Sep-17,Selzer-4
246,7,Iowa,45,47,,Sep-05,Fabrizio Ward/Hart Research-7
214,5,Iowa,46,48,,Aug-03,Monmouth U.-5
210.5,4,Iowa,40,41,,Jul-30,RMG Research-4
205.5,2,Iowa,47,48,,Jul-24,PPP-2
160.5,4,Iowa,43,44,,Jun-10,Selzer-4
159,3,Iowa,46,46,,Jun-08,Civiqs-3
155.5,2,Iowa,47,48,,Jun-04,PPP-2
121.5,2,Iowa,46,48,,May-01,PPP-2
63.5,4,Iowa,41,51,,Mar-05,Selzer-4
21.5,4,Iowa,44,46,,Jan-23,Siena Coll.-4
271.5,4,Kansas,42,52,,Sep-29,Civiqs-4
220,5,Kansas,41,48,,Aug-09,SurveyUSA-5
218.5,2,Kansas,43,50,,Aug-06,PPP-2
152,3,Kansas,40,52,,Jun-01,Civiqs-3
70.5,2,Kansas,40,52,,Mar-11,PPP-2
33.5,8,Kansas,43,51,,Feb-06,DFM Research-8
256,5,Kentucky,38,58,,Sep-14,Quinnipiac U.-5
214,5,Kentucky,41,50,,Aug-03,Quinnipiac U.-5
210.5,10,Kentucky,35,59,,Aug-02,Morning Consult-10
166,3,Kentucky,37,57,,Jun-15,Civiqs-3
143.5,4,Kentucky,36,53,,May-24,RMG Research-4
135.5,2,Kentucky,39,55,,May-15,PPP-2
2,1,Louisiana,38,58,,Jan-02,Election 2016-1
264,7,Maine,50,39,,Sep-23,Colby Coll.-7
262.5,4,Maine,51,39,,Sep-20,Suffolk U.-4
257.5,6,Maine,55,38,,Sep-16,Siena Coll.-6
256,5,Maine,59,38,,Sep-14,Quinnipiac U.-5
246,7,Maine,54,40,,Sep-05,Fabrizio Ward/Hart Research-7
216,13,Maine,45,38,,Aug-09,Critical Insights-13
214,5,Maine,52,37,,Aug-03,Quinnipiac U.-5
212,7,Maine,50,39,,Aug-02,RMG Research-7
205.5,2,Maine,53,42,,Jul-24,PPP-2
203,7,Maine,50,38,,Jul-24,Colby College-7
184.5,2,Maine,53,42,,Jul-03,PPP-2
62.5,2,Maine,52,42,,Mar-03,PPP-2
251.5,8,Maryland,62,30,,Sep-11,OpinionWorks-8
142,5,Maryland,59,35,,May-23,Gonzales Research-5
47,7,Maryland,60,35,,Feb-19,Goucher Coll.-7
239,3,Massachusetts,69,31,,Aug-27,Emerson Coll.-3
220.5,4,Massachusetts,63,27,,Aug-09,MassINC-4
216.5,8,Massachusetts,61,28,,Aug-07,YouGov-8
200.5,4,Massachusetts,55,23,,Jul-20,MassINC-4
126.5,2,Massachusetts,67,33,,May-06,Emerson Coll.-2
120,5,Massachusetts,58,30,,May-01,U. of Mass.-5
96.5,4,Massachusetts,69,31,,Apr-07,Emerson Coll.-4
274.5,2,Michigan,50,44,,Oct-01,PPP-2
