Dem,GOP,State,Vote by county
151581,130614,Alabama,Jefferson
68429,91087,Alabama,Mobile
62435,89199,Alabama,Madison
22927,72846,Alabama,Shelby
58669,33928,Alabama,Montgomery
18409,72780,Alabama,Baldwin
31746,47701,Alabama,Tuscaloosa
20987,34321,Alabama,Lee
11216,37392,Alabama,Morgan
13197,32803,Alabama,Calhoun
10350,32132,Alabama,Etowah
10547,30567,Alabama,Houston
9340,28824,Alabama,Limestone
9877,27735,Alabama,Lauderdale
5550,31579,Alabama,St. Clair
3730,32734,Alabama,Cullman
8436,27619,Alabama,Elmore
4913,29217,Alabama,Marshall
12108,20596,Alabama,Talladega
4486,24208,Alabama,Walker
3682,21779,Alabama,DeKalb
2150,22808,Alabama,Blount
5908,18110,Alabama,Autauga
7296,16718,Alabama,Colbert
3663,16643,Alabama,Jackson
4194,15825,Alabama,Coffee
9577,9210,Alabama,Russell
12826,5784,Alabama,Dallas
4408,13798,Alabama,Dale
5271,12967,Alabama,Tallapoosa
2909,15068,Alabama,Chilton
2379,13222,Alabama,Covington
4698,10282,Alabama,Escambia
3611,10732,Alabama,Lawrence
5763,7803,Alabama,Chambers
5039,7681,Alabama,Pike
5712,7109,Alabama,Clarke
1432,11273,Alabama,Marion
2197,9466,Alabama,Franklin
1522,9967,Alabama,Geneva
5607,5224,Alabama,Marengo
1524,8809,Alabama,Cherokee
4848,5431,Alabama,Barbour
871,9225,Alabama,Winston
4310,5771,Alabama,Monroe
2290,7697,Alabama,Randolph
3972,5454,Alabama,Pickens
7237,1394,Alabama,Macon
1874,6733,Alabama,Bibb
3716,4891,Alabama,Butler
2366,6031,Alabama,Washington
1358,6705,Alabama,Fayette
2286,5623,Alabama,Henry
4772,3172,Alabama,Hale
3109,4102,Alabama,Choctaw
1035,5819,Alabama,Lamar
4882,1751,Alabama,Lowndes
1234,5230,Alabama,Clay
3069,3413,Alabama,Conecuh
684,5738,Alabama,Cleburne
4739,1581,Alabama,Sumter
1663,4511,Alabama,Crenshaw
4329,1737,Alabama,Wilcox
3823,1403,Alabama,Perry
1780,3376,Alabama,Coosa
4006,838,Alabama,Greene
