"id";"Day";"Len";"State";"EV";"Dem";"GOP";"Ind";"Date";"Pollster"
1;275.5;4;"Alabama";9;37;57;"";"Oct-03";"Auburn U. at Montgomery-4"
2;210.5;10;"Alabama";9;36;58;"";"Aug-02";"Morning Consult-10"
3;187.5;8;"Alabama";9;41;55;"";"Jul-09";"Auburn U. at Montgomery-8"
4;36.0;3;"Alabama";9;38;58;"";"Feb-06";"Mason-Dixon-3"
5;273.5;10;"Alaska";3;46;50;"";"Oct-04";"Alaska Survey Research-10"
6;205.5;2;"Alaska";3;44;50;"";"Jul-24";"PPP-2"
7;189.5;2;"Alaska";3;45;48;"";"Jul-08";"PPP-2"
8;182.0;15;"Alaska";3;48;49;"";"Jul-07";"Alaska Survey Research-15"
9;279.5;4;"Arizona";11;49;43;"";"Oct-07";"Redfield and Wilton Strategies-4"
10;277.0;9;"Arizona";11;48;46;"";"Oct-07";"Ipsos-9"
11;276.0;3;"Arizona";11;49;41;"";"Oct-03";"Siena Coll.-3"
12;276.0;9;"Arizona";11;48;45;"";"Oct-06";"Latino Decisions-9"
13;275.5;8;"Arizona";11;46;45;"";"Oct-05";"High Ground Inc.-8"
14;272.0;5;"Arizona";11;50;46;"";"Sep-30";"Suffolk U.-5"
15;270.5;6;"Arizona";11;49;45;"";"Sep-29";"Strategies 360-6"
16;268.5;4;"Arizona";11;47;44;"";"Sep-26";"Redfield and Wilton Strategies-4"
17;261.5;6;"Arizona";11;48;49;"";"Sep-20";"Langer Research-6"
18;258.0;5;"Arizona";11;47;42;"";"Sep-16";"Redfield and Wilton Strategies-5"
19;258.0;7;"Arizona";11;47;46;"";"Sep-17";"Ipsos-7"
20;257.0;5;"Arizona";11;48;46;"";"Sep-15";"Monmouth U.-5"
21;256.5;6;"Arizona";11;49;40;"";"Sep-15";"Siena Coll.-6"
22;254.0;3;"Arizona";11;47;44;"";"Sep-11";"YouGov-3"
23;253.0;3;"Arizona";11;52;42;"";"Sep-10";"OH Predictive Insights-3"
24;249.5;16;"Arizona";11;45;40;"";"Sep-13";"Kaiser/Cook-16"
25;246.5;12;"Arizona";11;48;47;"";"Sep-08";"Benenson Strategy/GS Strategy-12"
26;245.5;6;"Arizona";11;48;43;"";"Sep-04";"Redfield and Wilton Strategies-6"
27;243.5;4;"Arizona";11;49;40;"";"Sep-01";"Fox News-4"
28;238.5;10;"Arizona";11;52;42;"";"Aug-30";"Morning Consult-10"
29;230.0;3;"Arizona";11;47;38;"";"Aug-18";"Redfield and Wilton Strategies-3"
30;222.0;3;"Arizona";11;53;47;"";"Aug-10";"Emerson Coll.-3"
31;216.5;2;"Arizona";11;49;45;"";"Aug-04";"OH Predictive Insights-2"
32;203.5;10;"Arizona";11;49;42;"";"Jul-26";"Morning Consult-10"
33;203.0;5;"Arizona";11;46;38;"";"Jul-23";"Redfield and Wilton Strategies-5"
34;203.0;7;"Arizona";11;49;45;"";"Jul-24";"SSRS-7"
35;200.0;9;"Arizona";11;50;45;"";"Jul-22";"Marist Coll.-9"
36;199.5;2;"Arizona";11;49;45;"";"Jul-18";"PPP-2"
37;190.5;4;"Arizona";11;46;46;"";"Jul-10";"YouGov-4"
38;188.5;2;"Arizona";11;49;44;"";"Jul-07";"OH Predictive Insights-2"
39;167.5;4;"Arizona";11;43;39;"";"Jun-17";"Redfield and Wilton Strategies-4"
40;166.0;3;"Arizona";11;49;45;"";"Jun-15";"Civiqs-3"
41;164.0;9;"Arizona";11;48;41;"";"Jun-16";"Siena Coll.-9"
42;152.5;4;"Arizona";11;46;42;"";"Jun-02";"Fox News-4"
43;141.0;5;"Arizona";11;47;45;"";"May-22";"High Ground Inc.-5"
44;133.0;5;"Arizona";11;45;41;"";"May-14";"Redfield and Wilton Strategies-5"
45;131.0;3;"Arizona";11;50;43;"";"May-11";"OH Predictive Insights-3"
46;98.5;2;"Arizona";11;52;43;"";"Apr-08";"OH Predictive Insights-2"
47;72.5;4;"Arizona";11;46;43;"";"Mar-14";"Monmouth U.-4"
48;72.5;6;"Arizona";11;47;46;"";"Mar-15";"Marist Coll.-6"
49;68.5;6;"Arizona";11;50;42;"";"Mar-11";"Latino Decisions-6"
50;63.5;2;"Arizona";11;49;43;"";"Mar-04";"OH Predictive Insights-2"
51;62.5;2;"Arizona";11;48;47;"";"Mar-03";"PPP-2"
52;44.0;5;"Arizona";11;42;46;"";"Feb-15";"Climate Nexus-5"
53;3.0;3;"Arizona";11;46;46;"";"Jan-04";"PPP-3"
54;161.5;2;"Arkansas";6;45;47;"";"Jun-10";"Hendrix Coll.-2"
55;271.0;3;"California";55;59;32;"";"Sep-28";"SurveyUSA-3"
56;264.0;3;"California";55;62;28;"";"Sep-21";"Redfield and Wilton Strategies-3"
57;256.0;7;"California";55;67;28;"";"Sep-15";"U. of Calif. at Berkeley-7"
58;252.5;10;"California";55;60;31;"";"Sep-13";"Public Policy Inst. of Calif.-10"
59;225.0;1;"California";55;56;28;"";"Aug-12";"SurveyUSA-1"
60;222.0;1;"California";55;61;25;"";"Aug-09";"Redfield and Wilton Strategies-1"
61;206.0;7;"California";55;67;28;"";"Jul-27";"U.C. Berkeley-7"
62;142.5;10;"California";55;57;33;"";"May-26";"Public Policy Inst. of Calif.-10"
63;139.5;2;"California";55;58;30;"";"May-19";"SurveyUSA-2"
64;129.5;2;"California";55;65;35;"";"May-09";"Emerson Coll.-2"
65;88.5;2;"California";55;67;29;"";"Mar-29";"PPP-2"
66;58.5;8;"California";55;62;26;"";"Mar-02";"AtlasIntel-8"
67;58.0;3;"California";55;59;31;"";"Feb-28";"YouGov-3"
68;55.0;5;"California";55;60;35;"";"Feb-26";"SSRS-5"
69;53.5;6;"California";55;58;31;"";"Feb-25";"U. of California-6"
70;45.5;4;"California";55;57;37;"";"Feb-16";"SurveyUSA-4"
71;39.0;15;"California";55;60;30;"";"Feb-15";"YouGov-15"
72;15.0;3;"California";55;59;35;"";"Jan-16";"SurveyUSA-3"
73;277.5;6;"Colorado";9;50;40;"";"Oct-06";"SurveyUSA-6"
74;246.0;7;"Colorado";9;50;40;"";"Sep-05";"Fabrizio Ward/Hart Research-7"
75;238.5;10;"Colorado";9;51;41;"";"Aug-30";"Morning Consult-10"
76;205.5;2;"Colorado";9;54;41;"";"Jul-24";"PPP-2"
77;203.5;10;"Colorado";9;52;39;"";"Jul-26";"Morning Consult-10"
78;181.5;2;"Colorado";9;56;39;"";"Jun-30";"PPP-2"
79;130.0;5;"Colorado";9;53;40;"";"May-11";"Global Strategy-5"
80;105.5;10;"Colorado";9;53;35;"";"Apr-19";"Montana State U.-10"
81;48.0;5;"Colorado";9;46;43;"";"Feb-19";"Climate Nexus-5"
82;142.5;6;"Connecticut";7;52;32;"";"May-24";"SurveyUSA-6"
83;123.0;5;"Connecticut";7;56;33;"";"May-04";"Quinnipiac U.-5"
84;89.0;11;"Connecticut";7;47;34;"";"Apr-03";"Sacred Heart U.-11"
85;63.5;18;"Connecticut";7;52;36;"";"Mar-12";"Sacred Heart U.-18"
86;2.0;1;"D.C.";3;93;4;"";"Jan-02";"Election 2016-1"
87;268.0;7;"Delaware";3;54;33;"";"Sep-27";"U. of Delaware-7"
88;234.5;2;"Delaware";3;58;37;"";"Aug-22";"PPP-2"
