cycle,branch,model,modeldate,candidate_inc,candidate_chal,scenario_id,probability,scenario_description,timestamp,simulations
2020,President,polls-plus,10/05/2020,Trump,Biden,9,0.870825,Biden majority (at least 50 percent of the vote),5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,8,0.057225,Trump majority (at least 50 percent of the vote),5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,6,0.0986,Biden wins popular vote but loses Electoral College,5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,5,0.001425,Trump wins popular vote but loses Electoral College,5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,4,0.913375,Biden wins popular vote,5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,3,0.086625,Trump wins popular vote,5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,2,0.050325,Recount (1+ decisive states within 0.5 ppt),5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,1,0.0044,Electoral College deadlock (No candidate gets 270 electoral votes),5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,14,0.93375,Biden wins at least one state Trump won in 2016,5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,13,0.32355,Trump wins at least one state Clinton won in 2016,5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,12,0.001175,Map exactly the same as in 2016,5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,11,0.301875,Biden landslide (double-digit popular vote margin),5/10/2020 14:34,40000
2020,President,polls-plus,10/05/2020,Trump,Biden,10,0.0013,Trump landslide (double-digit popular vote margin),5/10/2020 14:34,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,9,0.865925,Biden majority (at least 50 percent of the vote),4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,8,0.059875,Trump majority (at least 50 percent of the vote),4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,6,0.09965,Biden wins popular vote but loses Electoral College,4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,5,0.001325,Trump wins popular vote but loses Electoral College,4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,4,0.909625,Biden wins popular vote,4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,3,0.090375,Trump wins popular vote,4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,2,0.049275,Recount (1+ decisive states within 0.5 ppt),4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,1,0.0043,Electoral College deadlock (No candidate gets 270 electoral votes),4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,14,0.9332,Biden wins at least one state Trump won in 2016,4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,13,0.328225,Trump wins at least one state Clinton won in 2016,4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,12,0.000725,Map exactly the same as in 2016,4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,11,0.29595,Biden landslide (double-digit popular vote margin),4/10/2020 20:24,40000
2020,President,polls-plus,10/04/2020,Trump,Biden,10,0.001425,Trump landslide (double-digit popular vote margin),4/10/2020 20:24,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,9,0.8584,Biden majority (at least 50 percent of the vote),3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,8,0.0641,Trump majority (at least 50 percent of the vote),3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,6,0.1015125,Biden wins popular vote but loses Electoral College,3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,5,0.001625,Trump wins popular vote but loses Electoral College,3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,4,0.903375,Biden wins popular vote,3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,3,0.096625,Trump wins popular vote,3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,2,0.050475,Recount (1+ decisive states within 0.5 ppt),3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,1,0.004525,Electoral College deadlock (No candidate gets 270 electoral votes),3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,14,0.928525,Biden wins at least one state Trump won in 2016,3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,13,0.336525,Trump wins at least one state Clinton won in 2016,3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,12,0.001,Map exactly the same as in 2016,3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,11,0.285975,Biden landslide (double-digit popular vote margin),3/10/2020 20:48,40000
2020,President,polls-plus,10/03/2020,Trump,Biden,10,0.001775,Trump landslide (double-digit popular vote margin),3/10/2020 20:48,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,9,0.8534,Biden majority (at least 50 percent of the vote),2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,8,0.0665,Trump majority (at least 50 percent of the vote),2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,6,0.105425,Biden wins popular vote but loses Electoral College,2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,5,0.0010875,Trump wins popular vote but loses Electoral College,2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,4,0.900075,Biden wins popular vote,2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,3,0.099925,Trump wins popular vote,2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,2,0.051325,Recount (1+ decisive states within 0.5 ppt),2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,1,0.004775,Electoral College deadlock (No candidate gets 270 electoral votes),2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,14,0.925375,Biden wins at least one state Trump won in 2016,2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,13,0.343675,Trump wins at least one state Clinton won in 2016,2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,12,0.001075,Map exactly the same as in 2016,2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,11,0.28405,Biden landslide (double-digit popular vote margin),2/10/2020 22:26,40000
2020,President,polls-plus,10/02/2020,Trump,Biden,10,0.001925,Trump landslide (double-digit popular vote margin),2/10/2020 22:26,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,9,0.855675,Biden majority (at least 50 percent of the vote),1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,8,0.065675,Trump majority (at least 50 percent of the vote),1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,6,0.1012125,Biden wins popular vote but loses Electoral College,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,5,0.0013125,Trump wins popular vote but loses Electoral College,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,4,0.90145,Biden wins popular vote,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,3,0.09855,Trump wins popular vote,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,2,0.04905,Recount (1+ decisive states within 0.5 ppt),1/10/2020 21:27,40000
