state,AVG(less_9_grade_perc),AVG(high_school_perc),AVG(college_no_degree_perc),AVG(associate_degree_perc),AVG(bachelors_degree_perc),AVG(graduate_degree_perc),AVG(high_school_or_more_perc),AVG(bachelors_degree_or_more_perc),registered_per_total
Maine,2.3000000715255737,32.10000038146973,22.15000057220459,9.300000190734863,19.09999990463257,10.150000095367432,92.75,29.249999046325684,0.771
Mississippi,4.199999988079071,29.84999990463257,25,10,13.274999856948853,7.599999904632568,85.77499961853027,20.90000009536743,0.729
Michigan,2.157142860548837,29.44285706111363,25.871428625924246,9.107142789023262,16.907142843518937,9.842857088361468,91.14285714285714,26.74999979564122,0.712
"North Dakota",2.700000047683716,26.200000762939453,25.5,14.5,20.299999237060547,6.199999809265137,92.80000305175781,26.5,0.709
Kentucky,4.50000003973643,33.46666558583578,22.949999809265137,8.249999841054281,13.733333190282186,9,87.4166653951009,22.68333339691162,0.709
Minnesota,1.8124999850988388,24.937500476837158,23.149999618530273,11.437500059604645,23.25,10.962500095367432,93.73750019073486,34.21249985694885,0.708
Missouri,2.4500000029802322,30.750000476837158,24.71250033378601,7.925000190734863,17.00000023841858,9.975000083446503,90.375,26.987500429153442,0.706
Wisconsin,1.9625000059604645,30.97499966621399,23.199999809265137,10.474999904632568,18.612499713897705,9.224999964237213,92.51249980926514,27.84999966621399,0.705
Montana,1.7000000476837158,28.600000381469727,26,9.199999809265137,19.600000381469727,9.699999809265137,93.0999984741211,29.299999237060547,0.704
Iowa,2.100000023841858,30.75,23.699999809265137,11.5,18.84999942779541,7.9999998807907104,92.77499961853027,26.84999990463257,0.698
Oregon,1.859999942779541,23.479999923706053,27.520000457763672,9.080000114440917,20.47999973297119,11.579999923706055,92.15999908447266,32.04000053405762,0.691
Ohio,2.3249999806284904,33.24374985694885,22.681249976158142,8.168750137090683,16.850000143051147,9.624999910593033,90.55624961853027,26.44999998807907,0.683
Vermont,1.7000000476837158,29.600000381469727,20.700000762939453,7.900000095367432,21.799999237060547,13.5,93.5,35.29999923706055,0.681
Kansas,2.0250000059604645,26.5,25.925000190734863,9.049999952316284,20.15000033378601,11.074999809265137,92.64999961853027,31.22499990463257,0.674
"New Hampshire",2,28.75,20.850000381469727,9.600000381469727,21.25,12.799999713897705,93.19999694824219,34.05000114440918,0.672
Washington,1.9600000023841857,23.460000038146973,25.469999885559083,10.390000057220458,21.55,11.890000152587891,92.7900001525879,33.42999973297119,0.667
Alabama,3.1999999455043246,31.514285496303014,23.885714394705637,8.371428557804652,14.95714269365583,8.257142884390694,87.05714198521206,23.25714247567313,0.664
Maryland,2.274999976158142,25.15000009536743,21.537500143051147,6.825000047683716,21.47499990463257,17.075000047683716,92.03750038146973,38.5625,0.663
"South Dakota",2.200000047683716,30.700000762939453,22.299999237060547,11.800000190734863,19.299999237060547,7.900000095367432,92.0999984741211,27.200000762939453,0.662
Louisiana,3.8500000635782876,34.78333314259847,23.000000317891438,6.1333333651224775,14.750000158945719,7.333333412806193,85.98333358764648,22.083333015441895,0.654
Pennsylvania,2.550000011920929,35.14444425370958,18.316666709052193,8.23888889948527,18.383333418104385,11.044444428549873,91.12222247653537,29.411110983954536,0.652
"North Carolina",2.653846163016099,26.376922900860126,24.09999994131235,9.61538472542396,19.530768981346718,10.02307679102971,89.64615455040565,29.576923370361328,0.652
Virginia,2.6090909351002085,25.090908657420766,21.818181904879484,7.581818103790283,21.436363740400836,15.281818389892578,91.20909188010476,36.70000041614879,0.651
Alaska,2,30.100000381469727,27.899999618530273,7.800000190734863,16.700000762939453,10.399999618530273,93,27.100000381469727,0.644
Utah,1.3750000298023224,23.75,28.25,10.299999713897705,20.72499990463257,10.225000143051147,93.27499961853027,30.975000381469727,0.642
"Rhode Island",3.0999999046325684,28.949999809265137,21.149999618530273,8.300000190734863,19.449999809265137,12.75,90.6500015258789,32.19999980926514,0.642
"West Virginia",3.6000000635782876,39.666666666666664,21.066666920979817,7.1333333651224775,12.233333269755045,7.533333460489909,87.63333129882812,19.733332951863606,0.634
Indiana,2.888888862397936,33.45555517408583,22.622222052680122,8.42222229639689,16.2888888253106,8.366666634877523,89.13333384195964,24.655555937025284,0.625
Wyoming,1.600000023841858,29.600000381469727,27.700000762939453,10.600000381469727,15.699999809265137,8.800000190734863,92.5,24.5,0.624
Illinois,2.894444419278039,26.58333338631524,23.22777779897054,8.133333338631523,20.661111301845974,12.461111068725586,91.05555470784505,33.10555521647135,0.624
Delaware,2.299999952316284,33.900001525878906,20.700000762939453,7.5,17.399999618530273,11.5,91.0999984741211,28.899999618530273,0.624
"South Carolina",2.8285714387893677,30.428571156093053,23,9.614285469055176,16.714285578046525,9.014285836900983,88.74285779680524,25.685713904244558,0.621
Oklahoma,2.480000042915344,32.04000015258789,25.879999923706055,7.740000152587891,15.700000190734864,7.899999904632568,89.22000122070312,23.559999847412108,0.62
Nebraska,2.3666667143503823,26.53333282470703,25.333333333333332,10.466666539510092,20.433333079020183,9.800000031789144,92.66666666666667,30.266667048136394,0.619
Georgia,2.728571436234883,28.685714721679688,22.857142993382045,7.83571423803057,18.428571360451834,10.91428576196943,88.75714220319476,29.357142652784074,0.617
"New Jersey",3.1333333353201547,26.72499990463257,19.62499992052714,6.758333404858907,24.375,14.125,91.61666679382324,38.5083335240682,0.613
Massachusetts,2.944444431198968,23.733333163791233,19.066666709052193,7.3444444338480634,24.033333248562283,17.67777771419949,91.88888804117839,41.74444431728787,0.613
Tennessee,3.4333333174387612,32.388888676961265,23.444444444444443,7.333333439297146,16.377777947319878,9.022222201029459,88.61111111111111,25.399999618530273,0.612
