state,AVG(white_perc),AVG(black_perc),AVG(asia_perc),AVG(native_american_perc),AVG(native_hawaiian_perc),AVG(hispanic_perc),AVG(white_non_hispanic_perc),AVG(multi_race_perc),registered_per_total
Maine,95.94999694824219,0.8,0.8,0.45,0,1.4,94.95000076293945,1.75,0.771
Mississippi,59.724998474121094,38,0.525,0.225,0,1.6,58.750000953674316,0.6,0.729
Michigan,80.59285736083984,14.021428571428572,2.057142857142857,0.2357142857142857,0,3.514285714285714,78.128573008946,2.0357142857142856,0.712
"North Dakota",89.5,2.4,0.7,4.7,0,3,87.80000305175781,1.7,0.709
Kentucky,89.36666615804036,7.733333333333333,0.8000000000000002,0,0,1.6666666666666667,88.1999994913737,1.3999999999999997,0.709
Minnesota,87.97500038146973,4.7250000000000005,3.4625,0.7374999999999999,0,3.0375,86.12500095367432,1.9625000000000001,0.708
Missouri,84.30000019073486,11.424999999999999,1.225,0,0.025,2.675,82.41250133514404,1.8625,0.706
Wisconsin,88.33750104904175,6.1625,1.8999999999999997,0.525,0,4.3,85.5625,1.5625,0.705
Montana,90.80000305175781,0,0.5,5.3,0,3,88.5999984741211,2.4,0.704
Iowa,93.87500190734863,2.625,1.35,0.125,0,3.575,90.95000076293945,1.275,0.698
Oregon,87.57999877929687,1.24,3.54,0.64,0,7.659999999999999,82.73999938964843,3.7,0.691
Ohio,83.94374871253967,11.912500000000001,1.3499999999999999,0,0,2.4875,82.13124918937683,1.9312500000000001,0.683
Vermont,95.5,0.9,1.4,0,0,1.7,94.19999694824219,1.6,0.681
Kansas,87.55000114440918,5.799999999999999,1.875,0.725,0,7.1,82.45000267028809,2.6,0.674
"New Hampshire",94.70000076293945,1.4,1.6,0,0,2.95,92.54999923706055,1.55,0.672
Washington,80.67999992370605,3.6,6.8199999999999985,1.2600000000000002,0.29,7.9700000000000015,76.09999923706054,4.45,0.667
Alabama,69.97142900739398,26.714285714285715,0.7,0,0,2.1714285714285717,68.54285594395229,1.3571428571428572,0.664
Maryland,59.08749985694885,30.7125,5.075,0,0,5.75,56.22500038146973,2.6125000000000003,0.663
"South Dakota",88.5999984741211,1.2,0.7,7.4,0,2.6,86.9000015258789,1.8,0.662
Louisiana,64.35000038146973,31.999999999999996,1.1166666666666667,0.19999999999999998,0,3.016666666666666,62.23333485921224,1.433333333333333,0.654
Pennsylvania,83.52777820163303,10.294444444444444,2.4,0,0,5.472222222222222,80.50555610656738,1.6944444444444446,0.652
"North Carolina",71.70769295325645,22.023076923076925,1.8384615384615386,0.9000000000000001,0,4.415384615384616,68.9538465646597,1.9461538461538461,0.652
