state,below_poverty_percentage,percentage_registered,democrats,republicans
Alabama,14.642856870378766,0.664,34.7778,54.7778
Alaska,9.800000190734863,0.644,36.0000,46.6667
Arizona,11.288889037238228,0.608,41.2333,42.9667
Arkansas,14.900000095367432,0.558,35.1667,53.5833
California,10.405660404349273,0.519,53.6250,31.4688
Colorado,8.599999836512975,0.608,43.0357,38.1429
Connecticut,8.920000076293945,0.609,48.9000,37.8000
Delaware,10.399999618530273,0.624,48.8889,36.7778
Florida,11.448148091634115,0.56,44.9577,42.9155
Georgia,12.142857381275721,0.617,42.1563,45.4688
Hawaii,7.6000001430511475,0.495,56.4286,28.7143
Idaho,10.75,0.572,28.4167,48.9167
Illinois,10.49999992052714,0.624,50.0667,35.0000
Indiana,11.311111238267687,0.625,37.8750,47.4375
Iowa,10.050000190734863,0.698,40.7879,41.6970
Kansas,10.625,0.674,35.3333,48.6000
Kentucky,14.950000127156576,0.709,34.2222,54.7778
Louisiana,16.13333336512248,0.654,35.5385,51.6154
Maine,11.050000190734863,0.771,43.7778,37.9444
Maryland,7.900000035762787,0.663,58.8462,29.2308
Massachusetts,8.722222169240316,0.613,54.7500,30.9375
Michigan,12.442857163293022,0.712,44.0000,37.3929
Minnesota,8.587500035762787,0.708,46.2857,38.3571
Mississippi,17.09999966621399,0.729,39.7500,51.0000
Missouri,11.587500154972076,0.706,38.8696,47.1304
Montana,12.199999809265137,0.704,34.3333,48.7778
Nebraska,9.766666730244955,0.619,33.6250,52.3750
Nevada,11.350000023841858,0.55,44.0303,42.4545
"New Hampshire",6.650000095367432,0.672,44.5000,39.6000
"New Jersey",7.791666746139526,0.613,48.6667,36.6667
"New Mexico",16.799999872843426,0.581,43.2143,36.0714
"New York",11.703703756685611,0.553,53.8571,33.0714
"North Carolina",11.7615385055542,0.652,44.2333,43.0833
"North Dakota",10.5,0.709,32.1250,52.3750
Ohio,12.087500035762787,0.683,42.6604,41.9623
Oklahoma,13.260000038146973,0.62,31.3000,55.4000
Oregon,11.280000114440918,0.691,46.3571,35.2857
Pennsylvania,10.77222235997518,0.652,45.5818,40.2000
"Rhode Island",10.950000286102295,0.642,49.8889,36.2222
"South Carolina",13.128571374075753,0.621,39.3636,47.0909
"South Dakota",11.699999809265137,0.662,33.6667,50.6667
Tennessee,13.033333248562283,0.612,35.0000,50.3636
Texas,11.716666605737474,0.552,38.6667,45.1429
Utah,8.299999952316284,0.642,27.5600,38.2000
Vermont,10.699999809265137,0.681,51.7273,25.9091
Virginia,9.572727225043558,0.651,44.9783,38.2826
Washington,9.110000038146973,0.667,49.0714,34.6429
"West Virginia",16.10000006357829,0.634,29.0000,57.2500
Wisconsin,10.0625,0.705,45.2000,38.6286
Wyoming,10,0.624,23.2500,60.5000
"District of Columbia",14.600000381469727,NULL,NULL,NULL
