Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
335.0,1,Alabama,9,35,63,02,Dec 01,,,,,,,,2016 Election results-1
307.0,7,Alabama,9,36,54,06,Nov 06,,,,,,,,SurveyMonkey-7
300.0,7,Alabama,9,36,54,06,Oct 30,,,,,,,,SurveyMonkey-7
295.0,9,Alabama,9,36,52,08,Oct 26,,,,,,,,SurveyMonkey-9
293.0,7,Alabama,9,37,51,08,Oct 23,,,,,,,,SurveyMonkey-7
232.5,24,Alabama,9,31,53,08,Sep 01,,,,,,,,SurveyMonkey-24
136.0,31,Alabama,9,33,52,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Alabama,9,31,53,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Alabama,9,38,61,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Alaska,3,38,53,06,Dec 01,,,,,,,,2016 Election results-1
307.0,7,Alaska,3,31,47,13,Nov 06,,,,,,,,SurveyMonkey-7
300.0,7,Alaska,3,39,47,11,Oct 30,,,,,,,,SurveyMonkey-7
296.5,6,Alaska,3,47,43,07,Oct 26,,,,,,,,Craciun Research-6
273.0,5,Alaska,3,31,36,18,Oct 02,,,,,,,,Alaska Survey Research-5
232.5,24,Alaska,3,31,38,19,Sep 01,,,,,,,,SurveyMonkey-24
136.0,31,Alaska,3,32,53,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Alaska,3,33,48,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Alaska,3,42,55,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Arizona,11,45,50,04,Dec 01,,,,,,,,2016 Election results-1
304.0,3,Arizona,11,40,45,09,Nov 01,,,,,,,,Marist Coll.-3
303.0,3,Arizona,11,43,47,02,Oct 31,,,,,,,,Emerson Coll.-3
302.5,6,Arizona,11,44,49,05,Nov 01,,,,,,,,Opinion Research-6
300.0,3,Arizona,11,42,44,04,Oct 28,,,,,,,,YouGov-3
300.0,3,Arizona,11,42,44,04,Oct 28,,,,,,,,YouGov-3
300.0,7,Arizona,11,43,43,08,Oct 30,,,,,,,,SurveyMonkey-7
295.5,4,Arizona,11,45,46,04,Oct 24,,,,,,,,Monmouth U.-4
287.0,1,Arizona,11,39,37,08,Oct 14,,,,,,,,HighGround-1
285.5,6,Arizona,11,43,38,07,Oct 15,,,,,,,,Arizona State U.-6
285.0,9,Arizona,11,41,44,10,Oct 16,,,,,,,,SurveyMonkey-9
276.0,3,Arizona,11,44,42,09,Oct 04,,,,,,,,Emerson Coll.-3
272.0,3,Arizona,11,42,42,05,Sep 30,,,,,,,,OH Predictive Insights-3
250.0,3,Arizona,11,38,40,12,Sep 08,,,,,,,,Marist Coll.-3
239.0,1,Arizona,11,40,44,08,Aug 27,,,,,,,,Gravis-1
239.0,3,Arizona,11,43,46,,Aug 28,,,,,,,,PPP-3
238.0,3,Arizona,11,40,39,07,Aug 27,,,,,,,,OH Predictive Insights-3
236.0,15,Arizona,11,35,34,07,Aug 31,,,,,,,,Arizona State U.-15
232.5,6,Arizona,11,38,45,12,Aug 23,,,,,,,,Opinion Research-6
232.5,24,Arizona,11,37,39,13,Sep 01,,,,,,,,SurveyMonkey-24
215.5,4,Arizona,11,42,44,05,Aug 05,,,,,,,,YouGov-4
213.0,1,Arizona,11,45,42,04,Aug 01,,,,,,,,OH Predictive Insights-1
173.5,2,Arizona,11,40,44,,Jun 23,,,,,,,,PPP-2
171.0,1,Arizona,11,47,42,,Jun 20,,,,,,,,OH Predictive Insights-1
136.0,31,Arizona,11,38,46,,May 31,,,,,,,,Morning Consult-31
134.0,3,Arizona,11,38,40,,May 15,,,,,,,,PPP-3
 97.5,8,Arizona,11,42,35,,Apr 11,,,,,,,,Behavior Research Center-8
 68.0,5,Arizona,11,38,38,,Mar 11,,,,,,,,Merrill/West Group-5
 46.0,29,Arizona,11,39,46,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Arizona,11,44,54,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Arkansas,6,34,60,03,Dec 01,,,,,,,,2016 Election results-1
307.0,7,Arkansas,6,34,55,06,Nov 06,,,,,,,,SurveyMonkey-7
300.0,7,Arkansas,6,37,53,05,Oct 30,,,,,,,,SurveyMonkey-7
294.5,8,Arkansas,6,36,59,,Oct 25,,,,,,,,U. of Arkansas-8
294.0,1,Arkansas,6,33,56,04,Oct 21,,,,,,,,Hendrix Coll.-1
259.0,3,Arkansas,6,34,55,03,Sep 17,,,,,,,,Hendrix Coll.-3
254.0,5,Arkansas,6,29,57,05,Sep 13,,,,,,,,Emerson Coll.-5
232.5,24,Arkansas,6,37,46,11,Sep 01,,,,,,,,SurveyMonkey-24
172.0,1,Arkansas,6,36,47,,Jun 21,,,,,,,,Hendrix Coll.-1
136.0,31,Arkansas,6,37,47,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Arkansas,6,38,47,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Arkansas,6,37,61,,Jan 01,,,,,,,,Election 2012-1
335.0,1,California,55,61,34,03,Dec 01,,,,,,,,2016 Election results-1
307.0,7,California,55,56,30,07,Nov 06,,,,,,,,SurveyMonkey-7
302.5,4,California,55,56,35,04,Oct 31,,,,,,,,SurveyUSA-4
301.0,7,California,55,53,33,04,Oct 31,,,,,,,,Field Poll-7
300.0,7,California,55,55,30,07,Oct 30,,,,,,,,SurveyMonkey-7
299.0,9,California,55,54,30,04,Oct 30,,,,,,,,USC-9
291.5,10,California,55,54,28,05,Oct 23,,,,,,,,Public Policy Inst. of Calif.-10
287.0,3,California,55,56,30,04,Oct 15,,,,,,,,SurveyUSA-3
283.0,7,California,55,61,25,04,Oct 13,,,,,,,,Sacramento State-7
270.5,2,California,55,59,33,03,Sep 28,,,,,,,,SurveyUSA-2
256.5,10,California,55,47,31,10,Sep 18,,,,,,,,Public Policy Inst. of Calif.-10
253.0,7,California,55,50,33,05,Sep 13,,,,,,,,YouGov-7
252.5,4,California,55,57,32,03,Sep 11,,,,,,,,SurveyUSA-4
247.5,8,California,55,49,29,11,Sep 08,,,,,,,,Los Angeles Times-8
247.5,8,California,55,49,29,11,Sep 08,,,,,,,,SurveyMonkey-8
232.5,24,California,55,49,28,12,Sep 01,,,,,,,,SurveyMonkey-24
195.5,10,California,55,46,30,07,Jul 19,,,,,,,,Public Policy Inst. of Calif.-10
171.0,25,California,55,50,26,10,Jul 02,,,,,,,,Field Poll-25
152.5,4,California,55,48,33,,Jun 03,,,,,,,,YouGov-4
150.0,3,California,55,55,31,,May 31,,,,,,,,Marist Coll.-3
148.5,6,California,55,53,34,,May 31,,,,,,,,Field Poll-6
145.0,13,California,55,56,30,,May 31,,,,,,,,LA Times-13
140.5,4,California,55,52,38,,May 22,,,,,,,,SurveyUSA-4
137.5,10,California,55,49,39,,May 22,,,,,,,,Public Policy Inst. of Calif.-10
136.0,31,California,55,52,32,,May 31,,,,,,,,Morning Consult-31
