cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00175,0,,99,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001425,0,,98,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0024,0,,97,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001675,0.000025,,96,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001125,0,,95,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0024,0,,94,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0017,0,,93,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0022,0,,92,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00155,0,,91,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00125,0,,90,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000075,0,,9,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001525,0.000025,,89,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001575,0,,88,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00095,0.00005,,87,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001675,0,,86,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001125,0,,85,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000625,0,,84,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0017,0,,83,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00165,0,,82,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00085,0,,81,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001275,0.000025,,80,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000175,0,,8,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000675,0,,79,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000625,0,,78,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001225,0,,77,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001,0,,76,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.001075,0,,75,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00105,0,,74,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000625,0,,73,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0009,0,,72,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00075,0,,71,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0007,0,,70,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00015,0,,7,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000675,0.000025,,69,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0008,0,,68,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0005,0,,67,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000925,0,,66,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000675,0,,65,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00055,0,,64,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.00105,0,,63,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0008,0,,62,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.0004,0,,61,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000575,0,,60,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000025,0,,6,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000675,0,,59,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000575,0,,58,14:59:03 28 Sep 2020,40000
2020,President,polls-plus,2020-09-28,Trump,Biden,,0.000575,0,,57,14:59:03 28 Sep 2020,40000
